 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=           1 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        1       25     29.84200  5.780688976E+00 -8.003802111E-02  1.275048801E+01  9.225699689E-01  3.925067305E+01 -1.372794616E-04       11
        2       25     29.84200  2.244628075E+00 -1.908111387E-02  7.187010502E+00  5.186401062E-01 -5.484366849E+00 -7.161593342E-04       11
        1       25  13359.13123  1.015139389E+01 -1.655273607E-01 -9.952443400E+00 -7.308464056E-01  3.980240080E+01 -1.256485583E-04       11
        2       25  13359.13123  4.799319251E+00 -7.825239962E-02 -7.202163269E-01 -6.545859957E-02 -2.478631460E+00 -7.171215675E-04       11
        1       25  26629.04120  7.001602768E+00 -5.162521477E-01 -5.683433953E+00 -8.934185047E-02  4.033448111E+01 -1.256485583E-04       11
        2       25  26629.04120 -5.943185023E+00  4.165850900E-01 -3.022114481E+00 -5.422665154E-02  5.003064966E-01 -7.171215675E-04       11
        1       26     29.84200 -5.609528660E+00  9.097311857E-02  8.431964942E+00  6.033193143E-01  4.033091698E+01 -1.256559737E-04       11
        2       26     29.84200  3.493408660E+00 -4.585764100E-02  4.371926881E+00  3.142106541E-01  4.987065820E-01 -7.171289785E-04       11
        1       26  13359.13123 -8.273903568E-01 -2.131728092E-03  6.925535203E+00  4.890603852E-01  4.084570777E+01 -1.137315898E-04       11
        2       26  13359.13123  8.358480663E+00 -1.398802636E-01  3.360221682E+00  2.285630479E-01  3.502052665E+00 -7.163040465E-04       11
        1       26  26629.04120  2.535340308E+00 -2.010681401E-01  4.032073633E+00  5.003742816E-02  4.133186661E+01 -1.137315898E-04       11
        2       26  26629.04120  7.409377232E+00 -5.474998151E-01 -2.084327750E+00 -4.258892985E-02  6.475079284E+00 -7.163040465E-04       11
        1       27     29.84200 -2.854612358E+00  5.901769973E-02 -5.763256103E+00 -4.148969620E-01  4.133060103E+01 -1.137390073E-04       11
        2       27     29.84200 -5.995069997E+00  9.939399690E-02  2.893847991E+00  2.094215558E-01  6.472873523E+00 -7.163114595E-04       11
        1       27  13359.13123  2.599272485E-02 -4.992824255E-03  6.127452986E+00  4.233031917E-01  4.179899044E+01 -1.015435870E-04       11
