 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=         100 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        2     2101  26629.04120 -7.042320893E-01  3.655453879E-02 -3.586083280E+00 -6.404630066E-02 -8.552327928E+00  2.637702362E-04       11
        1     2201     29.84200 -5.376202369E-01  1.821946666E-02  5.098915240E+00  3.676047422E-01  4.190111435E+01  9.636723627E-05       11
        2     2201     29.84200 -5.376236142E-01  1.821949609E-02  5.098915671E+00  3.676047733E-01  4.190111445E+01  9.636723545E-05       11
        1     2201  13359.13123  3.408642336E+00 -6.145914022E-02  4.515180232E-01  1.835022125E-02  4.148036924E+01  1.085348582E-04       11
        2     2201  13359.13123  3.408642152E+00 -6.145915936E-02  4.515176147E-01  1.835019191E-02  4.148036934E+01  1.085348574E-04       11
        1     2201  26629.04120 -7.086034768E-01  3.682517108E-02 -3.564184681E+00 -6.376366971E-02  4.104388501E+01  1.085348582E-04       11
        2     2201  26629.04120 -7.085743913E-01  3.682306624E-02 -3.564184659E+00 -6.376366909E-02  4.104388511E+01  1.085348574E-04       11
        1     2301     29.84200 -5.479586350E-01  1.854948916E-02  5.021894887E+00  3.621254848E-01  2.565968681E+01 -2.193864174E-04       11
        2     2301     29.84200 -5.479658371E-01  1.854957752E-02  5.021895268E+00  3.621255126E-01  2.565968670E+01 -2.193864180E-04       11
        1     2301  13359.13123  3.367246200E+00 -6.090290461E-02  7.097666310E-01  3.695849111E-02  2.656929094E+01 -2.115831960E-04       11
        2     2301  13359.13123  3.367243319E+00 -6.090288210E-02  7.097658946E-01  3.695843799E-02  2.656929083E+01 -2.115831967E-04       11
        1     2301  26629.04120 -7.299089399E-01  3.826935814E-02 -3.509191602E+00 -6.302074944E-02  2.745580237E+01 -2.115831960E-04       11
        2     2301  26629.04120 -7.298822714E-01  3.826742597E-02 -3.509191879E+00 -6.302075323E-02  2.745580225E+01 -2.115831967E-04       11
        1     2401     29.84200 -5.443820183E-01  1.850540470E-02  5.028205161E+00  3.625707654E-01 -3.012895496E+01 -1.957124208E-04       11
